1284717778837: b = 4, a = 2, e = 2, n = 1284717778837
b = 9, a = 3, e = 2, n = 1284717778837
b = 16, a = 4, e = 2, n = 1284717778837
b = 25, a = 5, e = 2, n = 1284717778837
b = 36, a = 6, e = 2, n = 1284717778837
b = 49, a = 7, e = 2, n = 1284717778837
b = 64, a = 8, e = 2, n = 1284717778837
b = 81, a = 9, e = 2, n = 1284717778837
b = 100, a = 10, e = 2, n = 1284717778837
b = 121, a = 11, e = 2, n = 1284717778837
b = 144, a = 12, e = 2, n = 1284717778837
b = 169, a = 13, e = 2, n = 1284717778837
b = 196, a = 14, e = 2, n = 1284717778837
b = 225, a = 15, e = 2, n = 1284717778837
b = 256, a = 16, e = 2, n = 1284717778837
b = 289, a = 17, e = 2, n = 1284717778837
b = 324, a = 18, e = 2, n = 1284717778837
b = 361, a = 19, e = 2, n = 1284717778837
b = 400, a = 20, e = 2, n = 1284717778837
b = 441, a = 21, e = 2, n = 1284717778837
b = 484, a = 22, e = 2, n = 1284717778837
b = 529, a = 23, e = 2, n = 1284717778837
b = 576, a = 24, e = 2, n = 1284717778837
b = 625, a = 25, e = 2, n = 1284717778837
b = 676, a = 26, e = 2, n = 1284717778837
b = 729, a = 27, e = 2, n = 1284717778837
b = 784, a = 28, e = 2, n = 1284717778837
b = 841, a = 29, e = 2, n = 1284717778837
b = 900, a = 30, e = 2, n = 1284717778837
b = 961, a = 31, e = 2, n = 1284717778837
b = 1024, a = 32, e = 2, n = 1284717778837
b = 1089, a = 33, e = 2, n = 1284717778837
b = 1156, a = 34, e = 2, n = 1284717778837
b = 1225, a = 35, e = 2, n = 1284717778837
b = 1296, a = 36, e = 2, n = 1284717778837
b = 1369, a = 37, e = 2, n = 1284717778837
b = 1444, a = 38, e = 2, n = 1284717778837
b = 1521, a = 39, e = 2, n = 1284717778837
b = 1600, a = 40, e = 2, n = 1284717778837
b = 1681, a = 41, e = 2, n = 1284717778837
b = 1764, a = 42, e = 2, n = 1284717778837
b = 1849, a = 43, e = 2, n = 1284717778837
b = 1936, a = 44, e = 2, n = 1284717778837
b = 2025, a = 45, e = 2, n = 1284717778837
b = 2116, a = 46, e = 2, n = 1284717778837
b = 2209, a = 47, e = 2, n = 1284717778837
b = 2304, a = 48, e = 2, n = 1284717778837
b = 2401, a = 49, e = 2, n = 1284717778837
b = 2500, a = 50, e = 2, n = 1284717778837
b = 2601, a = 51, e = 2, n = 1284717778837
b = 2704, a = 52, e = 2, n = 1284717778837
b = 2809, a = 53, e = 2, n = 1284717778837
b = 2916, a = 54, e = 2, n = 1284717778837
b = 3025, a = 55, e = 2, n = 1284717778837
b = 3136, a = 56, e = 2, n = 1284717778837
b = 3249, a = 57, e = 2, n = 1284717778837
b = 3364, a = 58, e = 2, n = 1284717778837
b = 3481, a = 59, e = 2, n = 1284717778837
b = 3600, a = 60, e = 2, n = 1284717778837
b = 3721, a = 61, e = 2, n = 1284717778837
b = 3844, a = 62, e = 2, n = 1284717778837
b = 3969, a = 63, e = 2, n = 1284717778837
b = 4096, a = 64, e = 2, n = 1284717778837
b = 4225, a = 65, e = 2, n = 1284717778837
b = 4356, a = 66, e = 2, n = 1284717778837
b = 4489, a = 67, e = 2, n = 1284717778837
b = 4624, a = 68, e = 2, n = 1284717778837
b = 4761, a = 69, e = 2, n = 1284717778837
b = 4900, a = 70, e = 2, n = 1284717778837
b = 5041, a = 71, e = 2, n = 1284717778837
b = 5184, a = 72, e = 2, n = 1284717778837
b = 5329, a = 73, e = 2, n = 1284717778837
b = 5476, a = 74, e = 2, n = 1284717778837
b = 5625, a = 75, e = 2, n = 1284717778837
b = 5776, a = 76, e = 2, n = 1284717778837
b = 5929, a = 77, e = 2, n = 1284717778837
b = 6084, a = 78, e = 2, n = 1284717778837
b = 6241, a = 79, e = 2, n = 1284717778837
b = 6400, a = 80, e = 2, n = 1284717778837
b = 6561, a = 81, e = 2, n = 1284717778837
b = 6724, a = 82, e = 2, n = 1284717778837
b = 6889, a = 83, e = 2, n = 1284717778837
